episode,reward,pnl,actor_loss,value_loss,entropy
1,-12.963616742421015,-9955.462467070047,0.0,0.0007952594943119383,1.4245638353306622
2,-11.588314496175405,-9362.564467670663,0.0,0.001197476359157874,1.4682806245095674
3,-9.35610167215973,-5770.71090207024,0.0,0.001006136336746706,1.4213748616831643
4,-5.144042057581426,-421.62691542484754,0.0,0.0008425739832178112,1.3720785294260296
5,-2.4136892173278297,26703.52748627372,0.0,0.0005505776004849308,1.196601751748295
6,1.2070868674126758,44993.01988216188,0.0,0.0005661323687252748,1.0342899045153033
7,1.2722453109913667,-14877.060504345774,0.0,0.00743394227757086,0.9225444953799956
8,1.7268157381971458,44849.9312872158,0.0,0.0014917365871432206,0.7245187664714953
9,43.293649215390275,29455.571478110644,0.0,1.9265672343506681,0.9041900234740404
10,-0.054030300236757596,21085.262411152587,0.0,0.25729424158334085,0.7040775500991869
11,-442.58178794989357,22270.339622525324,0.0,156.07046587225565,0.54990318472985
12,281.6552845635247,26894.000224772335,0.0,122.55642786351781,0.38166934838435346
13,5.97394641517211,47302.697076697834,0.0,0.006385165399868649,0.4259535119137061
14,3.291864301754828,72150.27681529187,0.0,0.0008245244727645295,0.4700901054422415
15,0.887259591437003,20146.6300521719,0.0,0.001091348593122564,0.7361243183369793
16,1.475464063030069,20675.351244262776,0.0,0.2499389866657761,0.4580652088126434
17,81.27424073469926,11834.268249604736,0.0,4.5781917012871505,0.48404069986593506
18,-50.00730993999839,2820.2712714963855,0.0,1.559106318884828,0.47104047253240083
19,263.64145390232386,64125.553478654176,0.0,121.0706073435174,0.4423585966523249
20,71.84579988401306,15649.509197543939,0.0,10.28820599536593,0.36303834380288164
21,281.3551788146874,11233.225781507866,0.0,121.82772780058015,0.5274243040365123
22,-85.53630357651897,53862.81640868674,0.0,5.5341437709079875,0.701730113609561
23,-22.46124058114204,-5771.493137420102,0.0,1.0294635408608015,0.5135421895954225
24,8.374788012831372,41920.70142908059,0.0,0.013376866750128275,0.6065950837288429
25,367.35777873732866,-35119.14197942034,0.0,40.69212807250165,0.04926464357690532
26,-4.332057765927885,50703.592471034586,0.0,0.02827461945610464,0.4951408365353321
27,2.5702900431516906,75358.92642058813,0.0,0.001162275427109957,0.6735210636453259
28,5.862138524581644,41514.18659037693,0.0,0.0053831262473847475,0.30991374799798777
29,-47.63564851054101,-7231.6596996086255,0.0,2.5998141417392273,0.36051308635173235
30,238.85822962315905,-7633.557778569208,0.0,39.455246918540155,-0.09874452529211773
