episode,reward,pnl,critic_loss,actor_loss,alpha
1,-104.03633485638589,-5999.6153391698945,0.35316378946307553,-1.5627215564210564,0.895262598991394
2,-96.7973461252602,-4764.918514264949,0.25537261653986226,-2.434430275679118,0.7722509503364563
3,-100.63685897159961,-5366.223420041779,0.24704368678478875,-3.2359561789591944,0.6660963892936707
4,-97.71602569807536,-4081.2187219354673,0.27159374296242894,-3.8846286998586614,0.5743711590766907
5,-95.39023677714368,-4882.728625070748,0.30201766550782727,-4.423306086967731,0.49549052119255066
6,-82.74019585998131,-2477.196895083342,0.3207181924708475,-4.853799543322705,0.42746299505233765
7,-63.32333594853711,1590.8188720634603,0.3860086904305957,-5.100601185649694,0.36890190839767456
8,-105.81585032143683,-6170.997569895052,0.44156989320991974,-5.317452112190154,0.31837591528892517
9,-100.8232931317071,-5458.786777500451,0.41823066178611035,-5.523031375954649,0.27489593625068665
10,-68.94736359703738,-74.72160019034249,0.4204949841477566,-5.657197718204397,0.23747311532497406
11,-92.22076491040069,-4132.949343395476,0.4355237415819816,-5.72250703575645,0.20518586039543152
12,-90.94544756976057,-4124.561212308816,0.4003439762512682,-5.760212740917438,0.1771969497203827
13,-75.99156652307647,-1400.1213570143443,0.3640643143176307,-5.648032889646642,0.1531175673007965
14,-14.397336179959797,3105.0764943114486,0.6293444408606322,-5.16582616395931,0.13332687318325043
15,-49.48041613523604,-253.07719817296254,0.9644868218511887,-4.591902213454488,0.11738279461860657
16,0.25643762689536037,5094.188511741276,1.130554066194214,-4.277099919222627,0.10377287864685059
17,-97.58276519854013,-7260.791775035251,1.3331171424708066,-3.870360718295734,0.09197240322828293
18,-94.45910065046243,-7223.110581709105,1.34219476465763,-3.862364417399161,0.08117017894983292
19,-21.82924687105105,1218.352118317303,1.2254963793449904,-3.953708118647639,0.07144849747419357
20,-65.32172570220249,-3323.6322837284183,1.0035513715464095,-4.098653424606632,0.06282784789800644
21,-49.592970988649746,-1907.4889617802082,0.9964626501286006,-3.9591538398309365,0.05519874393939972
22,-68.64604966719861,-3506.060590391001,0.9044565531532857,-3.9466363667958166,0.048720188438892365
23,-65.12036876063164,-3992.6762478962473,0.879289759160539,-3.6531490447796866,0.043411947786808014
24,-103.6708296519906,-9422.56661584761,0.996617111117251,-3.394606870678272,0.03906288370490074
25,59.888127307170045,6393.643733575289,1.0620100285714345,-3.095689690379052,0.03527386859059334
26,-67.17406376594711,-5032.530438633912,1.2247121327426322,-2.293910066689729,0.03258597105741501
27,182.35138933657691,19959.512118765957,1.3034417135962124,-1.897704311848654,0.0300347451120615
28,5.503304217890723,703.5750661860611,2.482277940400699,-0.34886903698114974,0.029783587902784348
29,-67.84976965553099,-6024.471621474144,3.036652183919601,0.661593963129495,0.030999809503555298
30,-67.18250766591976,-5652.757956222665,3.048874936045788,0.772376901883836,0.03207024186849594
31,-43.90698326350324,-2345.720622449068,2.666382311323835,0.17273424008509813,0.029890436679124832
32,-95.03952262103923,-7706.883567011787,2.571239859469024,0.1918486262641485,0.027218984439969063
33,5.1745835677001715,4287.658663130917,1.5387215021294949,-0.6224784766518441,0.023257575929164886
34,310.07393363494873,32884.181541028534,1.879839507851591,-0.29528526760804,0.021698951721191406
