Stock_A,Stock_B,Pair_Type,GNN_Strength,Total_PnL,Total_Return,Sharpe_Ratio,Max_Drawdown,Win_Rate,Num_Trades,Final_Equity
ICICIBANK,COFORGE,positive,0.0021057883,-59.02171101858721,-0.007883336603226416,0.08300198327183524,0.28230774773790257,0.5,2,9921.166633967736
AXISBANK,ALKEM,positive,0.0018739955,564.1509526304327,0.05541509526304326,0.2500056850639324,0.18423106067371975,1.0,1,10554.150952630433
SBIN,ALKEM,positive,0.0018146893,2450.917761979602,0.24409177619796027,0.7447200338407673,0.21088271669119157,1.0,1,12440.917761979603
BAJFINANCE,KOTAKBANK,positive,0.0018046303,737.5870899400167,0.057052239927650406,0.2725605331477316,0.13873712743089056,0.5625,16,10570.522399276504
ICICIBANK,ALKEM,positive,0.0017504577,864.5371147667215,0.0854537114766721,0.35935731374865787,0.13132625423865385,1.0,1,10854.537114766721
COFORGE,ALKEM,positive,0.0016347304,880.6677149509254,0.08706677149509251,0.30511841041078536,0.18515089752778385,1.0,1,10870.667714950925
AXISBANK,COFORGE,positive,0.0015288143,1.5809632956979556,-0.00183242675395486,0.11581912176545155,0.40081313705552024,0.5,2,9981.675732460451
SBILIFE,AUROPHARMA,positive,0.0015122499,761.583731260586,0.0679017172455944,0.2887028961294072,0.20387528433043292,0.6666666666666666,9,10679.017172455944
KOTAKBANK,BIOCON,positive,0.0013234749,-998.4773991137281,-0.10820638014021697,-0.18665619189898866,0.2636343662306543,0.4444444444444444,9,8917.93619859783
HCLTECH,HDFCBANK,positive,0.0012672348,-745.981437062008,-0.07735848594861472,-0.17922078731691982,0.2577269571674685,0.6666666666666666,3,9226.415140513853
SBIN,COFORGE,positive,0.0012647616,1556.9684209099858,0.15469684209099852,0.429994908746865,0.36275448509545843,1.0,1,11546.968420909985
HCLTECH,SUNPHARMA,positive,0.0012632958,183.79877704561795,0.013581272419801463,0.1187625406419151,0.1383584961838226,0.6,5,10135.812724198015
ZYDUSLIFE,COFORGE,positive,0.0012436936,-802.5092457231591,-0.08125092457231585,-0.07038516564090938,0.404681223612071,0.0,1,9187.490754276841
TECHM,HDFCBANK,positive,0.0011806609,91.89458919797096,0.007260739308683696,0.10140920466348562,0.23105359107799434,0.5,2,10072.607393086837
LTIM,AUROPHARMA,positive,0.0011579341,176.6089443627643,0.014851654811076151,0.14008512578543728,0.2567574587943501,0.3333333333333333,3,10148.516548110762
ICICIPRULI,ALKEM,positive,0.0011124987,628.4817783275507,0.06184817783275503,0.2712406550185373,0.15210602897607098,1.0,1,10618.48177832755
CIPLA,COFORGE,positive,0.0010724294,-4403.446333709792,-0.44583649040332357,-1.0541721690081354,0.5781908165842454,0.5,6,5541.635095966764
BIOCON,OFSS,positive,0.001031619,137.4766198647458,0.012747661986474668,0.18118729858160837,0.3848391297244884,1.0,1,10127.476619864747
INFY,BIOCON,positive,0.001025738,-1204.937501708342,-0.1233523097157262,-0.2473088166048373,0.26175921985023254,0.6666666666666666,3,8766.476902842738
ALKEM,TORNTPHARM,positive,0.0010062213,-1320.70800641618,-0.1359093062982387,-0.4778449043543659,0.2034524110184426,0.0,4,8640.906937017613
KOTAKBANK,SBILIFE,negative,2.2794305e-10,2608.419889977725,0.25984198899777255,0.7600091534456651,0.19759906306513494,1.0,1,12598.419889977726
TORNTPHARM,KOTAKBANK,negative,2.2120238e-10,2735.709503492194,0.2648839299494222,0.8163913769284532,0.11256819279795291,0.5,8,12648.839299494222
